# Aozora gaiji notation → Unicode mapping (JIS X 0213:2004)
# Source : https://x0213.org/codetable/jisx0213-2004-std.txt
# License: free use/modify/distribute (Project X0213, 2009)
# Format : plane-row-cell<TAB>character<TAB>U+XXXX[+XXXX]
#   plane=1 → Aozora 第3水準1-X-Y
#   plane=2 → Aozora 第4水準2-X-Y
1-1-1	　	3000
1-1-2	、	3001
1-1-3	。	3002
1-1-4	,	002C
1-1-5	.	002E
1-1-6	・	30FB
1-1-7	:	003A
1-1-8	;	003B
1-1-9	?	003F
1-1-10	!	0021
1-1-11	゛	309B
1-1-12	゜	309C
1-1-13	´	00B4
1-1-14	`	0060
1-1-15	¨	00A8
1-1-16	^	005E
1-1-17	‾	203E
1-1-18	_	005F
1-1-19	ヽ	30FD
1-1-20	ヾ	30FE
1-1-21	ゝ	309D
1-1-22	ゞ	309E
1-1-23	〃	3003
1-1-24	仝	4EDD
1-1-25	々	3005
1-1-26	〆	3006
1-1-27	〇	3007
1-1-28	ー	30FC
1-1-29	—	2014
1-1-30	‐	2010
1-1-31	/	002F
1-1-32	\	005C
1-1-33	〜	301C
1-1-34	‖	2016
1-1-35	|	007C
1-1-36	…	2026
1-1-37	‥	2025
1-1-38	‘	2018
1-1-39	’	2019
1-1-40	“	201C
1-1-41	”	201D
1-1-42	(	0028
1-1-43	)	0029
1-1-44	〔	3014
1-1-45	〕	3015
1-1-46	[	005B
1-1-47	]	005D
1-1-48	{	007B
1-1-49	}	007D
1-1-50	〈	3008
1-1-51	〉	3009
1-1-52	《	300A
1-1-53	》	300B
1-1-54	「	300C
1-1-55	」	300D
1-1-56	『	300E
1-1-57	』	300F
1-1-58	【	3010
1-1-59	】	3011
1-1-60	+	002B
1-1-61	−	2212
1-1-62	±	00B1
1-1-63	×	00D7
1-1-64	÷	00F7
1-1-65	=	003D
1-1-66	≠	2260
1-1-67	<	003C
1-1-68	>	003E
1-1-69	≦	2266
1-1-70	≧	2267
1-1-71	∞	221E
1-1-72	∴	2234
1-1-73	♂	2642
1-1-74	♀	2640
1-1-75	°	00B0
1-1-76	′	2032
1-1-77	″	2033
1-1-78	℃	2103
1-1-79	¥	00A5
1-1-80	$	0024
